"Notes"	"County"	"County Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2006"	"2006"	"Female"	"F"	0	2551	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2007"	"2007"	"Female"	"F"	0	2752	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2007"	"2007"	"Male"	"M"	0	2722	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2008"	"2008"	"Female"	"F"	0	2984	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2008"	"2008"	"Male"	"M"	0	2935	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2009"	"2009"	"Female"	"F"	0	3142	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2011"	"2011"	"Female"	"F"	0	3418	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2012"	"2012"	"Female"	"F"	0	3461	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2014"	"2014"	"Female"	"F"	0	3855	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2015"	"2015"	"Female"	"F"	0	4058	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2016"	"2016"	"Female"	"F"	0	4174	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2017"	"2017"	"Male"	"M"	0	3814	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2018"	"2018"	"Female"	"F"	0	4297	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2018"	"2018"	"Male"	"M"	0	3826	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2019"	"2019"	"Female"	"F"	0	4298	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"1999"	"1999"	"Female"	"F"	0	1416	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"1999"	"1999"	"Male"	"M"	0	1373	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2001"	"2001"	"Female"	"F"	0	1518	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2001"	"2001"	"Male"	"M"	0	1471	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2002"	"2002"	"Female"	"F"	0	1616	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2002"	"2002"	"Male"	"M"	0	1532	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2003"	"2003"	"Female"	"F"	0	1650	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2004"	"2004"	"Female"	"F"	0	1663	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2004"	"2004"	"Male"	"M"	0	1606	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2005"	"2005"	"Female"	"F"	0	1749	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2005"	"2005"	"Male"	"M"	0	1735	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2006"	"2006"	"Female"	"F"	0	1849	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2007"	"2007"	"Female"	"F"	0	1952	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2008"	"2008"	"Female"	"F"	0	2101	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2009"	"2009"	"Female"	"F"	0	2209	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2009"	"2009"	"Male"	"M"	0	2122	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2010"	"2010"	"Female"	"F"	0	2303	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2011"	"2011"	"Female"	"F"	0	2412	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2011"	"2011"	"Male"	"M"	0	2209	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2012"	"2012"	"Female"	"F"	0	2536	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2012"	"2012"	"Male"	"M"	0	2404	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2013"	"2013"	"Female"	"F"	0	2700	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2014"	"2014"	"Female"	"F"	0	2901	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2015"	"2015"	"Female"	"F"	0	3009	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2015"	"2015"	"Male"	"M"	0	3137	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2016"	"2016"	"Female"	"F"	0	3210	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2016"	"2016"	"Male"	"M"	0	3312	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2017"	"2017"	"Female"	"F"	0	3197	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2018"	"2018"	"Female"	"F"	0	3362	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"65-69 years"	"65-69"	"2019"	"2019"	"Female"	"F"	0	3523	Unreliable	0.0000%
